key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
h2685,h2685.mp3,6.974625,3,2.0,4.677732,5.664104,0.986372
h2686,h2686.mp3,7.706,3,0.0,0.0,0.549773,0.549773
h2686,h2686.mp3,7.706,3,1.0,3.108163,4.146281,1.038118
h2686,h2686.mp3,7.706,3,2.0,5.11195,6.285624,1.173673
h2687,h2687.mp3,7.471,3,0.0,0.0,0.522041,0.522041
h2687,h2687.mp3,7.471,3,1.0,2.826984,3.982426,1.155442
h2687,h2687.mp3,7.471,3,2.0,4.858186,5.977914,1.119728
h2690,h2690.mp3,8.045625,3,0.0,0.0,0.571043,0.571043
h2690,h2690.mp3,8.045625,3,1.0,2.92805,4.232948,1.304898
h2690,h2690.mp3,8.045625,3,2.0,5.296689,6.477256,1.180567
h2691,h2691.mp3,7.41875,3,0.0,0.0,0.549297,0.549297
h2691,h2691.mp3,7.41875,3,1.0,3.000068,4.196077,1.196009
h2691,h2691.mp3,7.41875,3,2.0,4.99542,6.132086,1.136667
h2692,h2692.mp3,10.292125,3,0.0,0.0,0.534376,0.534376
h2692,h2692.mp3,10.292125,3,1.0,3.231156,4.296304,1.065147
h2692,h2692.mp3,10.292125,3,2.0,6.407846,7.621315,1.213469
h2693,h2693.mp3,9.534625,3,0.0,0.0,0.543991,0.543991
h2693,h2693.mp3,9.534625,3,1.0,3.188231,4.175941,0.98771
h2693,h2693.mp3,9.534625,3,2.0,6.112336,7.101134,0.988798
h2695,h2695.mp3,7.68,3,0.0,0.0,0.516032,0.516032
h2695,h2695.mp3,7.68,3,1.0,2.874422,3.998345,1.123923
h2695,h2695.mp3,7.68,3,2.0,4.927778,6.087324,1.159546
h2696,h2696.mp3,8.2285,3,0.0,0.0,0.414898,0.414898
h2696,h2696.mp3,8.2285,3,1.0,3.176689,4.237982,1.061293
h2696,h2696.mp3,8.2285,3,2.0,5.445488,6.460227,1.014739
h2697,h2697.mp3,12.8,6,0.0,0.0,1.02576,1.02576
h2697,h2697.mp3,12.8,6,1.0,3.320567,4.363333,1.042766
h2697,h2697.mp3,12.8,6,2.0,5.309569,6.336667,1.027098
h2697,h2697.mp3,12.8,6,3.0,7.289161,7.795669,0.506508
h2697,h2697.mp3,12.8,6,4.0,8.886213,9.894785,1.008571
h2697,h2697.mp3,12.8,6,5.0,10.823061,11.832018,1.008957
h2698,h2698.mp3,7.86275,3,0.0,0.0,0.573333,0.573333
h2698,h2698.mp3,7.86275,3,1.0,2.86746,4.034558,1.167098
h2698,h2698.mp3,7.86275,3,2.0,4.978186,6.242426,1.26424
h2699,h2699.mp3,8.28075,3,0.0,0.0,0.54678,0.54678
h2699,h2699.mp3,8.28075,3,1.0,3.074036,4.170794,1.096757
h2699,h2699.mp3,8.28075,3,2.0,5.336349,6.511247,1.174898
h2700,h2700.mp3,8.0195,3,0.0,0.0,0.531429,0.531429
h2700,h2700.mp3,8.0195,3,1.0,2.746304,3.722018,0.975714
h2700,h2700.mp3,8.0195,3,2.0,5.127687,6.114943,0.987256
h2701,h2701.mp3,9.168875,3,0.0,0.0,0.5322,0.5322
h2701,h2701.mp3,9.168875,3,1.0,3.282336,4.258367,0.976032
h2701,h2701.mp3,9.168875,3,2.0,5.996417,6.984444,0.988027
h2702,h2702.mp3,14.78525,6,0.0,0.0,1.036667,1.036667
h2702,h2702.mp3,14.78525,6,1.0,3.047415,4.070068,1.022653
h2702,h2702.mp3,14.78525,6,2.0,5.634399,6.656916,1.022517
h2702,h2702.mp3,14.78525,6,3.0,8.256735,8.782676,0.525941
h2702,h2702.mp3,14.78525,6,4.0,9.968186,10.975102,1.006916
h2702,h2702.mp3,14.78525,6,5.0,12.356757,13.376621,1.019864
h2703,h2703.mp3,9.613,3,0.0,0.0,0.53839,0.53839
h2703,h2703.mp3,9.613,3,1.0,2.829274,3.994785,1.16551
h2703,h2703.mp3,9.613,3,2.0,5.93517,7.187483,1.252313
h2704,h2704.mp3,8.829375,3,0.0,0.0,1.028571,1.028571
h2704,h2704.mp3,8.829375,3,1.0,3.541882,4.576825,1.034943
h2704,h2704.mp3,8.829375,3,2.0,6.182653,7.197937,1.015283
h2705,h2705.mp3,9.273375,3,0.0,0.0,0.500907,0.500907
h2705,h2705.mp3,9.273375,3,1.0,2.56424,3.645465,1.081224
h2705,h2705.mp3,9.273375,3,2.0,5.66907,6.785442,1.116372
h2706,h2706.mp3,6.373875,3,0.0,0.0,0.55195,0.55195
h2706,h2706.mp3,6.373875,3,1.0,2.633401,3.728209,1.094807
h2706,h2706.mp3,6.373875,3,2.0,4.224626,5.365533,1.140907
h2708,h2708.mp3,6.974625,3,0.0,0.0,0.529637,0.529637
h2708,h2708.mp3,6.974625,3,1.0,2.769751,3.920227,1.150476
h2708,h2708.mp3,6.974625,3,2.0,4.624943,5.699955,1.075011
h2709,h2709.mp3,7.888875,3,0.0,0.0,0.53517,0.53517
h2709,h2709.mp3,7.888875,3,1.0,2.924898,4.082925,1.158027
h2709,h2709.mp3,7.888875,3,2.0,5.028503,6.265828,1.237324
h2710,h2710.mp3,7.131375,3,0.0,0.0,0.495442,0.495442
h2710,h2710.mp3,7.131375,3,1.0,2.753265,3.913288,1.160023
h2710,h2710.mp3,7.131375,3,2.0,4.669592,5.775737,1.106145
